Attribute,UpdatedID,AttributeID,Value
Dirtiness,1018341007883789146,1346659444,12
ImportantMatches,1018341007883789146,1346660717,0
InjuryProneness,1018341007883789146,1346660714,8
Versatility,1018341007883789146,1346664052,17
FirstName,1094658088492884804,1348890209,Estêvão Willian
LastName,1094658088492884804,1349742177,Almeida de Oliveira Gonçalves
Crossing,1094658088492884804,1346659186,0
Dribbling,1094658088492884804,1346659442,0
Finishing,1094658088492884804,1346659950,0
FirstTouch,1094658088492884804,1346659956,-3
Heading,1094658088492884804,1346660452,0
LongShots,1094658088492884804,1346661491,0
Marking,1094658088492884804,1346661746,0
Passing,1094658088492884804,1346662515,-3
Tackling,1094658088492884804,1346663531,0
Technique,1094658088492884804,1346663523,-3
Aggression,1094658088492884804,1346658663,0
Anticipation,1094658088492884804,1346658670,0
Bravery,1094658088492884804,1346658930,0
Composure,1094658088492884804,1346659184,0
Concentration,1094658088492884804,1346659171,0
Decisions,1094658088492884804,1346659427,0
Determination,1094658088492884804,1346659429,0
Flair,1094658088492884804,1346659948,16
Influence,1094658088492884804,1346661476,0
OffTheBall,1094658088492884804,1346661750,0
Positioning,1094658088492884804,1346662516,0
Teamwork,1094658088492884804,1346663533,0
Creativity,1094658088492884804,1346664051,-3
Workrate,1094658088492884804,1346664306,0
Acceleration,1094658088492884804,1346658659,-3
Agility,1094658088492884804,1346658668,-3
Balance,1094658088492884804,1346658924,-3
JumpingReach,1094658088492884804,1346660973,7
NaturalFitness,1094658088492884804,1346661990,0
Pace,1094658088492884804,1346662499,-3
Stamina,1094658088492884804,1346663277,0
Strenfth,1094658088492884804,1346663284,-2
Corners,1094658088492884804,1346659187,0
FreeKicks,1094658088492884804,1346659947,0
LongThrows,1094658088492884804,1346661492,0
PenaltyTaking,1094658088492884804,1346662510,0
FullName,1094658088492884804,1348889710,First Second
Height,1094658088492884804,1349018995,176
Weight,1094658088492884804,1350002035,62
Adaptability,1094658088492884804,1348559969,0
Ambition,1094658088492884804,1348562274,0
Controversy,1094658088492884804,1348695673,0
Loyalty,1094658088492884804,1349283705,0
Pressure,1094658088492884804,1349546597,0
Professionalism,1094658088492884804,1349546607,0
Sportsmanship,1094658088492884804,1349742703,0
Temperament,1094658088492884804,1349805421,0
CurrentAbility,1094658088492884804,1346584898,87
PotentialAbility,1094658088492884804,1347436866,-95
LeftFoot,1094658088492884804,1346661478,20
RightFoot,1094658088492884804,1346663017,0
POS_DL,1094658088492884804,1348758643,0
POS_DC,1094658088492884804,1348756325,0
POS_DR,1094658088492884804,1348760179,0
POS_ML,1094658088492884804,1349348467,8
POS_MC,1094658088492884804,1349346149,12
POS_MR,1094658088492884804,1349350003,8
POS_AML,1094658088492884804,1348562284,12
POS_AMC,1094658088492884804,1348562275,19
POS_AMR,1094658088492884804,1348562290,20
POS_STC,1094658088492884804,1348559717,15
Consistency,1094658088492884804,1346659193,0
Dirtiness,1094658088492884804,1346659444,0
ImportantMatches,1094658088492884804,1346660717,0
InjuryProneness,1094658088492884804,1346660714,0
Versatility,1094658088492884804,1346664052,0
FirstName,1172550262458442575,1348890209,Kendry
LastName,1172550262458442575,1349742177,Páez
Crossing,1172550262458442575,1346659186,12
Dribbling,1172550262458442575,1346659442,15
Finishing,1172550262458442575,1346659950,11
FirstTouch,1172550262458442575,1346659956,15
Heading,1172550262458442575,1346660452,7
LongShots,1172550262458442575,1346661491,11
Marking,1172550262458442575,1346661746,6
Passing,1172550262458442575,1346662515,13
Tackling,1172550262458442575,1346663531,8
Technique,1172550262458442575,1346663523,16
Aggression,1172550262458442575,1346658663,0
Anticipation,1172550262458442575,1346658670,0
Bravery,1172550262458442575,1346658930,0
Composure,1172550262458442575,1346659184,0
Concentration,1172550262458442575,1346659171,0
Decisions,1172550262458442575,1346659427,0
Determination,1172550262458442575,1346659429,0
Flair,1172550262458442575,1346659948,16
Influence,1172550262458442575,1346661476,0
OffTheBall,1172550262458442575,1346661750,0
Positioning,1172550262458442575,1346662516,0
Teamwork,1172550262458442575,1346663533,0
Creativity,1172550262458442575,1346664051,0
Workrate,1172550262458442575,1346664306,0
Acceleration,1172550262458442575,1346658659,15
Agility,1172550262458442575,1346658668,16
Balance,1172550262458442575,1346658924,12
JumpingReach,1172550262458442575,1346660973,9
NaturalFitness,1172550262458442575,1346661990,16
Pace,1172550262458442575,1346662499,14
Stamina,1172550262458442575,1346663277,16
Strenfth,1172550262458442575,1346663284,9
Corners,1172550262458442575,1346659187,10
FreeKicks,1172550262458442575,1346659947,14
LongThrows,1172550262458442575,1346661492,6
PenaltyTaking,1172550262458442575,1346662510,13
FullName,1172550262458442575,1348889710,Ray Kendry Páez Andrade
Height,1172550262458442575,1349018995,177
Weight,1172550262458442575,1350002035,0
Adaptability,1172550262458442575,1348559969,0
Ambition,1172550262458442575,1348562274,0
Controversy,1172550262458442575,1348695673,0
Loyalty,1172550262458442575,1349283705,0
Pressure,1172550262458442575,1349546597,0
Professionalism,1172550262458442575,1349546607,0
Sportsmanship,1172550262458442575,1349742703,0
Temperament,1172550262458442575,1349805421,0
CurrentAbility,1172550262458442575,1346584898,113
PotentialAbility,1172550262458442575,1347436866,-9
LeftFoot,1172550262458442575,1346661478,20
RightFoot,1172550262458442575,1346663017,10
POS_DL,1172550262458442575,1348758643,0
POS_DC,1172550262458442575,1348756325,0
POS_DR,1172550262458442575,1348760179,0
POS_ML,1172550262458442575,1349348467,12
POS_MC,1172550262458442575,1349346149,20
POS_MR,1172550262458442575,1349350003,10
POS_AML,1172550262458442575,1348562284,17
POS_AMC,1172550262458442575,1348562275,17
POS_AMR,1172550262458442575,1348562290,12
POS_STC,1172550262458442575,1348559717,10
Consistency,1172550262458442575,1346659193,0
Dirtiness,1172550262458442575,1346659444,0
ImportantMatches,1172550262458442575,1346660717,0
InjuryProneness,1172550262458442575,1346660714,0
Versatility,1172550262458442575,1346664052,16
FirstName,121851912959058785,1348890209,João Pedro
LastName,121851912959058785,1349742177,Junqueira de Jesus
Crossing,121851912959058785,1346659186,11
Dribbling,121851912959058785,1346659442,15
Finishing,121851912959058785,1346659950,13
FirstTouch,121851912959058785,1346659956,15
Heading,121851912959058785,1346660452,10
LongShots,121851912959058785,1346661491,12
Marking,121851912959058785,1346661746,6
Passing,121851912959058785,1346662515,13
Tackling,121851912959058785,1346663531,7
Technique,121851912959058785,1346663523,14
Aggression,121851912959058785,1346658663,15
Anticipation,121851912959058785,1346658670,12
Bravery,121851912959058785,1346658930,11
Composure,121851912959058785,1346659184,13
Concentration,121851912959058785,1346659171,12
Decisions,121851912959058785,1346659427,13
Determination,121851912959058785,1346659429,15
Flair,121851912959058785,1346659948,15
Influence,121851912959058785,1346661476,11
OffTheBall,121851912959058785,1346661750,15
Positioning,121851912959058785,1346662516,7
Teamwork,121851912959058785,1346663533,14
Creativity,121851912959058785,1346664051,14
Workrate,121851912959058785,1346664306,16
Acceleration,121851912959058785,1346658659,15
Agility,121851912959058785,1346658668,14
Balance,121851912959058785,1346658924,15
JumpingReach,121851912959058785,1346660973,11
NaturalFitness,121851912959058785,1346661990,14
Pace,121851912959058785,1346662499,14
Stamina,121851912959058785,1346663277,14
Strenfth,121851912959058785,1346663284,13
Corners,121851912959058785,1346659187,11
FreeKicks,121851912959058785,1346659947,11
LongThrows,121851912959058785,1346661492,6
PenaltyTaking,121851912959058785,1346662510,17
FullName,121851912959058785,1348889710,First Second
Height,121851912959058785,1349018995,182
Weight,121851912959058785,1350002035,72
Adaptability,121851912959058785,1348559969,13
Ambition,121851912959058785,1348562274,13
Controversy,121851912959058785,1348695673,6
Loyalty,121851912959058785,1349283705,12
Pressure,121851912959058785,1349546597,14
Professionalism,121851912959058785,1349546607,14
Sportsmanship,121851912959058785,1349742703,11
Temperament,121851912959058785,1349805421,10
CurrentAbility,121851912959058785,1346584898,144
PotentialAbility,121851912959058785,1347436866,160
LeftFoot,121851912959058785,1346661478,8
RightFoot,121851912959058785,1346663017,20
POS_DL,121851912959058785,1348758643,0
POS_DC,121851912959058785,1348756325,0
POS_DR,121851912959058785,1348760179,0
POS_ML,121851912959058785,1349348467,0
POS_MC,121851912959058785,1349346149,0
POS_MR,121851912959058785,1349350003,0
POS_AML,121851912959058785,1348562284,19
POS_AMC,121851912959058785,1348562275,19
POS_AMR,121851912959058785,1348562290,18
POS_STC,121851912959058785,1348559717,20
Consistency,121851912959058785,1346659193,14
Dirtiness,121851912959058785,1346659444,6
ImportantMatches,121851912959058785,1346660717,12
InjuryProneness,121851912959058785,1346660714,5
Versatility,121851912959058785,1346664052,11
FirstName,1455451967175287626,1348890209,Mamadou
LastName,1455451967175287626,1349742177,Sarr
Crossing,1455451967175287626,1346659186,5
Dribbling,1455451967175287626,1346659442,0
Finishing,1455451967175287626,1346659950,5
FirstTouch,1455451967175287626,1346659956,0
Heading,1455451967175287626,1346660452,12
LongShots,1455451967175287626,1346661491,7
Marking,1455451967175287626,1346661746,12
Passing,1455451967175287626,1346662515,0
Tackling,1455451967175287626,1346663531,0
Technique,1455451967175287626,1346663523,12
Aggression,1455451967175287626,1346658663,0
Anticipation,1455451967175287626,1346658670,12
Bravery,1455451967175287626,1346658930,10
Composure,1455451967175287626,1346659184,0
Concentration,1455451967175287626,1346659171,8
Decisions,1455451967175287626,1346659427,0
Determination,1455451967175287626,1346659429,0
Flair,1455451967175287626,1346659948,12
Influence,1455451967175287626,1346661476,9
OffTheBall,1455451967175287626,1346661750,8
Positioning,1455451967175287626,1346662516,0
Teamwork,1455451967175287626,1346663533,0
Creativity,1455451967175287626,1346664051,0
Workrate,1455451967175287626,1346664306,0
Acceleration,1455451967175287626,1346658659,11
Agility,1455451967175287626,1346658668,9
Balance,1455451967175287626,1346658924,12
JumpingReach,1455451967175287626,1346660973,16
NaturalFitness,1455451967175287626,1346661990,0
Pace,1455451967175287626,1346662499,11
Stamina,1455451967175287626,1346663277,0
Strenfth,1455451967175287626,1346663284,12
Corners,1455451967175287626,1346659187,5
FreeKicks,1455451967175287626,1346659947,0
LongThrows,1455451967175287626,1346661492,5
PenaltyTaking,1455451967175287626,1346662510,0
FullName,1455451967175287626,1348889710,First Second
Height,1455451967175287626,1349018995,194
Weight,1455451967175287626,1350002035,75
Adaptability,1455451967175287626,1348559969,0
Ambition,1455451967175287626,1348562274,0
Controversy,1455451967175287626,1348695673,0
Loyalty,1455451967175287626,1349283705,0
Pressure,1455451967175287626,1349546597,0
Professionalism,1455451967175287626,1349546607,0
Sportsmanship,1455451967175287626,1349742703,0
Temperament,1455451967175287626,1349805421,0
CurrentAbility,1455451967175287626,1346584898,102
PotentialAbility,1455451967175287626,1347436866,-8
LeftFoot,1455451967175287626,1346661478,12
RightFoot,1455451967175287626,1346663017,20
POS_DL,1455451967175287626,1348758643,0
POS_DC,1455451967175287626,1348756325,20
POS_DR,1455451967175287626,1348760179,0
POS_ML,1455451967175287626,1349348467,0
POS_MC,1455451967175287626,1349346149,0
POS_MR,1455451967175287626,1349350003,0
POS_AML,1455451967175287626,1348562284,0
POS_AMC,1455451967175287626,1348562275,0
POS_AMR,1455451967175287626,1348562290,0
POS_STC,1455451967175287626,1348559717,20
Consistency,1455451967175287626,1346659193,0
Dirtiness,1455451967175287626,1346659444,0
ImportantMatches,1455451967175287626,1346660717,0
InjuryProneness,1455451967175287626,1346660714,0
Versatility,1455451967175287626,1346664052,13
FirstName,1481526361441985374,1348890209,Levi
LastName,1481526361441985374,1349742177,Colwill
Crossing,1481526361441985374,1346659186,7
Dribbling,1481526361441985374,1346659442,11
Finishing,1481526361441985374,1346659950,5
FirstTouch,1481526361441985374,1346659956,13
Heading,1481526361441985374,1346660452,13
LongShots,1481526361441985374,1346661491,2
Marking,1481526361441985374,1346661746,13
Passing,1481526361441985374,1346662515,14
Tackling,1481526361441985374,1346663531,13
Technique,1481526361441985374,1346663523,14
Aggression,1481526361441985374,1346658663,10
Anticipation,1481526361441985374,1346658670,12
Bravery,1481526361441985374,1346658930,11
Composure,1481526361441985374,1346659184,16
Concentration,1481526361441985374,1346659171,12
Decisions,1481526361441985374,1346659427,14
Determination,1481526361441985374,1346659429,-3
Flair,1481526361441985374,1346659948,0
Influence,1481526361441985374,1346661476,13
OffTheBall,1481526361441985374,1346661750,11
Positioning,1481526361441985374,1346662516,14
Teamwork,1481526361441985374,1346663533,12
Creativity,1481526361441985374,1346664051,12
Workrate,1481526361441985374,1346664306,14
Acceleration,1481526361441985374,1346658659,15
Agility,1481526361441985374,1346658668,12
Balance,1481526361441985374,1346658924,15
JumpingReach,1481526361441985374,1346660973,15
NaturalFitness,1481526361441985374,1346661990,14
Pace,1481526361441985374,1346662499,15
Stamina,1481526361441985374,1346663277,14
Strenfth,1481526361441985374,1346663284,13
Corners,1481526361441985374,1346659187,0
FreeKicks,1481526361441985374,1346659947,0
LongThrows,1481526361441985374,1346661492,0
PenaltyTaking,1481526361441985374,1346662510,0
FullName,1481526361441985374,1348889710,Levi Lemar Samuels-Colwill
Height,1481526361441985374,1349018995,187
Weight,1481526361441985374,1350002035,88
Adaptability,1481526361441985374,1348559969,0
Ambition,1481526361441985374,1348562274,0
Controversy,1481526361441985374,1348695673,0
Loyalty,1481526361441985374,1349283705,0
Pressure,1481526361441985374,1349546597,0
Professionalism,1481526361441985374,1349546607,0
Sportsmanship,1481526361441985374,1349742703,0
Temperament,1481526361441985374,1349805421,0
CurrentAbility,1481526361441985374,1346584898,141
PotentialAbility,1481526361441985374,1347436866,170
LeftFoot,1481526361441985374,1346661478,20
RightFoot,1481526361441985374,1346663017,10
POS_DL,1481526361441985374,1348758643,16
POS_DC,1481526361441985374,1348756325,20
POS_DR,1481526361441985374,1348760179,0
POS_ML,1481526361441985374,1349348467,0
POS_MC,1481526361441985374,1349346149,0
POS_MR,1481526361441985374,1349350003,0
POS_AML,1481526361441985374,1348562284,0
POS_AMC,1481526361441985374,1348562275,0
POS_AMR,1481526361441985374,1348562290,0
POS_STC,1481526361441985374,1348559717,20
Consistency,1481526361441985374,1346659193,11
Dirtiness,1481526361441985374,1346659444,0
ImportantMatches,1481526361441985374,1346660717,0
InjuryProneness,1481526361441985374,1346660714,7
Versatility,1481526361441985374,1346664052,0
FirstName,1577102315924513616,1348890209,Gabriel
LastName,1577102315924513616,1349742177,Słonina
Crossing,1577102315924513616,1346659186,0
Dribbling,1577102315924513616,1346659442,0
Finishing,1577102315924513616,1346659950,0
FirstTouch,1577102315924513616,1346659956,9
Heading,1577102315924513616,1346660452,0
LongShots,1577102315924513616,1346661491,0
Marking,1577102315924513616,1346661746,0
Passing,1577102315924513616,1346662515,8
Tackling,1577102315924513616,1346663531,0
Technique,1577102315924513616,1346663523,9
Aggression,1577102315924513616,1346658663,0
Anticipation,1577102315924513616,1346658670,0
Bravery,1577102315924513616,1346658930,13
Composure,1577102315924513616,1346659184,13
Concentration,1577102315924513616,1346659171,13
Decisions,1577102315924513616,1346659427,9
Determination,1577102315924513616,1346659429,18
Flair,1577102315924513616,1346659948,0
Influence,1577102315924513616,1346661476,0
OffTheBall,1577102315924513616,1346661750,0
Positioning,1577102315924513616,1346662516,13
Teamwork,1577102315924513616,1346663533,14
Creativity,1577102315924513616,1346664051,0
Workrate,1577102315924513616,1346664306,0
Acceleration,1577102315924513616,1346658659,12
Agility,1577102315924513616,1346658668,12
Balance,1577102315924513616,1346658924,12
JumpingReach,1577102315924513616,1346660973,17
NaturalFitness,1577102315924513616,1346661990,14
Pace,1577102315924513616,1346662499,11
Stamina,1577102315924513616,1346663277,13
Strenfth,1577102315924513616,1346663284,13
Corners,1577102315924513616,1346659187,0
FreeKicks,1577102315924513616,1346659947,0
LongThrows,1577102315924513616,1346661492,0
PenaltyTaking,1577102315924513616,1346662510,0
FullName,1577102315924513616,1348889710,Gabriel Pawel Słonina
Height,1577102315924513616,1349018995,194
Weight,1577102315924513616,1350002035,89
Adaptability,1577102315924513616,1348559969,17
Ambition,1577102315924513616,1348562274,18
Controversy,1577102315924513616,1348695673,2
Loyalty,1577102315924513616,1349283705,18
Pressure,1577102315924513616,1349546597,19
Professionalism,1577102315924513616,1349546607,18
Sportsmanship,1577102315924513616,1349742703,17
Temperament,1577102315924513616,1349805421,17
CurrentAbility,1577102315924513616,1346584898,114
PotentialAbility,1577102315924513616,1347436866,-8
LeftFoot,1577102315924513616,1346661478,10
RightFoot,1577102315924513616,1346663017,20
POS_DL,1577102315924513616,1348758643,0
POS_DC,1577102315924513616,1348756325,20
POS_DR,1577102315924513616,1348760179,0
POS_ML,1577102315924513616,1349348467,0
POS_MC,1577102315924513616,1349346149,0
POS_MR,1577102315924513616,1349350003,0
POS_AML,1577102315924513616,1348562284,0
POS_AMC,1577102315924513616,1348562275,0
POS_AMR,1577102315924513616,1348562290,0
POS_STC,1577102315924513616,1348559717,20
Consistency,1577102315924513616,1346659193,14
Dirtiness,1577102315924513616,1346659444,0
ImportantMatches,1577102315924513616,1346660717,0
InjuryProneness,1577102315924513616,1346660714,8
Versatility,1577102315924513616,1346664052,0
FirstName,1621523161212281676,1348890209,Dário
LastName,1621523161212281676,1349742177,Essugo
Crossing,1621523161212281676,1346659186,8
Dribbling,1621523161212281676,1346659442,12
Finishing,1621523161212281676,1346659950,6
FirstTouch,1621523161212281676,1346659956,11
Heading,1621523161212281676,1346660452,7
LongShots,1621523161212281676,1346661491,11
Marking,1621523161212281676,1346661746,11
Passing,1621523161212281676,1346662515,13
Tackling,1621523161212281676,1346663531,11
Technique,1621523161212281676,1346663523,13
Aggression,1621523161212281676,1346658663,11
Anticipation,1621523161212281676,1346658670,12
Bravery,1621523161212281676,1346658930,11
Composure,1621523161212281676,1346659184,12
Concentration,1621523161212281676,1346659171,11
Decisions,1621523161212281676,1346659427,11
Determination,1621523161212281676,1346659429,13
Flair,1621523161212281676,1346659948,12
Influence,1621523161212281676,1346661476,8
OffTheBall,1621523161212281676,1346661750,9
Positioning,1621523161212281676,1346662516,12
Teamwork,1621523161212281676,1346663533,13
Creativity,1621523161212281676,1346664051,13
Workrate,1621523161212281676,1346664306,12
Acceleration,1621523161212281676,1346658659,12
Agility,1621523161212281676,1346658668,11
Balance,1621523161212281676,1346658924,14
JumpingReach,1621523161212281676,1346660973,11
NaturalFitness,1621523161212281676,1346661990,15
Pace,1621523161212281676,1346662499,12
Stamina,1621523161212281676,1346663277,13
Strenfth,1621523161212281676,1346663284,14
Corners,1621523161212281676,1346659187,5
FreeKicks,1621523161212281676,1346659947,6
LongThrows,1621523161212281676,1346661492,8
PenaltyTaking,1621523161212281676,1346662510,0
FullName,1621523161212281676,1348889710,Dário Cassia Luís Essugo
Height,1621523161212281676,1349018995,180
Weight,1621523161212281676,1350002035,78
Adaptability,1621523161212281676,1348559969,0
Ambition,1621523161212281676,1348562274,13
Controversy,1621523161212281676,1348695673,3
Loyalty,1621523161212281676,1349283705,16
Pressure,1621523161212281676,1349546597,9
Professionalism,1621523161212281676,1349546607,14
Sportsmanship,1621523161212281676,1349742703,15
Temperament,1621523161212281676,1349805421,0
CurrentAbility,1621523161212281676,1346584898,107
PotentialAbility,1621523161212281676,1347436866,-8
LeftFoot,1621523161212281676,1346661478,9
RightFoot,1621523161212281676,1346663017,20
POS_DL,1621523161212281676,1348758643,0
POS_DC,1621523161212281676,1348756325,0
POS_DR,1621523161212281676,1348760179,0
POS_ML,1621523161212281676,1349348467,0
POS_MC,1621523161212281676,1349346149,18
POS_MR,1621523161212281676,1349350003,0
POS_AML,1621523161212281676,1348562284,0
POS_AMC,1621523161212281676,1348562275,0
POS_AMR,1621523161212281676,1348562290,0
POS_STC,1621523161212281676,1348559717,0
Consistency,1621523161212281676,1346659193,10
Dirtiness,1621523161212281676,1346659444,5
ImportantMatches,1621523161212281676,1346660717,10
InjuryProneness,1621523161212281676,1346660714,8
Versatility,1621523161212281676,1346664052,10
FirstName,1630565304320942952,1348890209,Moisés
LastName,1630565304320942952,1349742177,Caicedo
Crossing,1630565304320942952,1346659186,8
Dribbling,1630565304320942952,1346659442,14
Finishing,1630565304320942952,1346659950,11
FirstTouch,1630565304320942952,1346659956,14
Heading,1630565304320942952,1346660452,9
LongShots,1630565304320942952,1346661491,12
Marking,1630565304320942952,1346661746,13
Passing,1630565304320942952,1346662515,15
Tackling,1630565304320942952,1346663531,18
Technique,1630565304320942952,1346663523,14
Aggression,1630565304320942952,1346658663,13
Anticipation,1630565304320942952,1346658670,14
Bravery,1630565304320942952,1346658930,15
Composure,1630565304320942952,1346659184,15
Concentration,1630565304320942952,1346659171,15
Decisions,1630565304320942952,1346659427,15
Determination,1630565304320942952,1346659429,14
Flair,1630565304320942952,1346659948,14
Influence,1630565304320942952,1346661476,9
OffTheBall,1630565304320942952,1346661750,13
Positioning,1630565304320942952,1346662516,15
Teamwork,1630565304320942952,1346663533,15
Creativity,1630565304320942952,1346664051,14
Workrate,1630565304320942952,1346664306,16
Acceleration,1630565304320942952,1346658659,16
Agility,1630565304320942952,1346658668,16
Balance,1630565304320942952,1346658924,12
JumpingReach,1630565304320942952,1346660973,9
NaturalFitness,1630565304320942952,1346661990,18
Pace,1630565304320942952,1346662499,14
Stamina,1630565304320942952,1346663277,16
Strenfth,1630565304320942952,1346663284,12
Corners,1630565304320942952,1346659187,5
FreeKicks,1630565304320942952,1346659947,8
LongThrows,1630565304320942952,1346661492,4
PenaltyTaking,1630565304320942952,1346662510,8
FullName,1630565304320942952,1348889710,Moisés Isaac Caicedo Corozo
Height,1630565304320942952,1349018995,178
Weight,1630565304320942952,1350002035,73
Adaptability,1630565304320942952,1348559969,14
Ambition,1630565304320942952,1348562274,14
Controversy,1630565304320942952,1348695673,8
Loyalty,1630565304320942952,1349283705,0
Pressure,1630565304320942952,1349546597,10
Professionalism,1630565304320942952,1349546607,14
Sportsmanship,1630565304320942952,1349742703,11
Temperament,1630565304320942952,1349805421,11
CurrentAbility,1630565304320942952,1346584898,156
PotentialAbility,1630565304320942952,1347436866,185
LeftFoot,1630565304320942952,1346661478,8
RightFoot,1630565304320942952,1346663017,20
POS_DL,1630565304320942952,1348758643,0
POS_DC,1630565304320942952,1348756325,0
POS_DR,1630565304320942952,1348760179,0
POS_ML,1630565304320942952,1349348467,0
POS_MC,1630565304320942952,1349346149,20
POS_MR,1630565304320942952,1349350003,0
POS_AML,1630565304320942952,1348562284,0
POS_AMC,1630565304320942952,1348562275,0
POS_AMR,1630565304320942952,1348562290,0
POS_STC,1630565304320942952,1348559717,0
Consistency,1630565304320942952,1346659193,14
Dirtiness,1630565304320942952,1346659444,8
ImportantMatches,1630565304320942952,1346660717,12
InjuryProneness,1630565304320942952,1346660714,6
Versatility,1630565304320942952,1346664052,10
FirstName,1642631203190235992,1348890209,Tosin
LastName,1642631203190235992,1349742177,Adarabioyo
Crossing,1642631203190235992,1346659186,8
Dribbling,1642631203190235992,1346659442,12
Finishing,1642631203190235992,1346659950,9
FirstTouch,1642631203190235992,1346659956,13
Heading,1642631203190235992,1346660452,13
LongShots,1642631203190235992,1346661491,9
Marking,1642631203190235992,1346661746,13
Passing,1642631203190235992,1346662515,13
Tackling,1642631203190235992,1346663531,14
Technique,1642631203190235992,1346663523,13
Aggression,1642631203190235992,1346658663,9
Anticipation,1642631203190235992,1346658670,12
Bravery,1642631203190235992,1346658930,11
Composure,1642631203190235992,1346659184,12
Concentration,1642631203190235992,1346659171,13
Decisions,1642631203190235992,1346659427,12
Determination,1642631203190235992,1346659429,14
Flair,1642631203190235992,1346659948,13
Influence,1642631203190235992,1346661476,10
OffTheBall,1642631203190235992,1346661750,8
Positioning,1642631203190235992,1346662516,13
Teamwork,1642631203190235992,1346663533,12
Creativity,1642631203190235992,1346664051,13
Workrate,1642631203190235992,1346664306,13
Acceleration,1642631203190235992,1346658659,14
Agility,1642631203190235992,1346658668,13
Balance,1642631203190235992,1346658924,14
JumpingReach,1642631203190235992,1346660973,17
NaturalFitness,1642631203190235992,1346661990,15
Pace,1642631203190235992,1346662499,14
Stamina,1642631203190235992,1346663277,14
Strenfth,1642631203190235992,1346663284,13
Corners,1642631203190235992,1346659187,8
FreeKicks,1642631203190235992,1346659947,6
LongThrows,1642631203190235992,1346661492,11
PenaltyTaking,1642631203190235992,1346662510,10
FullName,1642631203190235992,1348889710,Oluwatosin Adarabioyo
Height,1642631203190235992,1349018995,196
Weight,1642631203190235992,1350002035,80
Adaptability,1642631203190235992,1348559969,13
Ambition,1642631203190235992,1348562274,17
Controversy,1642631203190235992,1348695673,12
Loyalty,1642631203190235992,1349283705,7
Pressure,1642631203190235992,1349546597,13
Professionalism,1642631203190235992,1349546607,14
Sportsmanship,1642631203190235992,1349742703,14
Temperament,1642631203190235992,1349805421,15
CurrentAbility,1642631203190235992,1346584898,135
PotentialAbility,1642631203190235992,1347436866,140
LeftFoot,1642631203190235992,1346661478,11
RightFoot,1642631203190235992,1346663017,20
POS_DL,1642631203190235992,1348758643,0
POS_DC,1642631203190235992,1348756325,20
POS_DR,1642631203190235992,1348760179,12
POS_ML,1642631203190235992,1349348467,0
POS_MC,1642631203190235992,1349346149,0
POS_MR,1642631203190235992,1349350003,0
POS_AML,1642631203190235992,1348562284,0
